Plaza,Local_Consolidado,Fecha,Organico,Inorganico,Carton,Aluminio,Archivo,Plastico_Duro,Pet,Playo,Vidrio,Tetra_Pak,Chatarra
Plaza Américas_Malecón,Bubba You (Malecón),12/1/2024,7.60,12.50,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,16/2/2024,21.12,12.24,0.00,1.00,0.00,1.00,2.00,0.00,8.39,0.00,0.00
Plaza Américas_Malecón,Cinepolis,16/2/2024,20.40,240.08,8.39,2.24,0.00,0.00,1.30,0.00,25.64,0.00,0.00
Plaza Américas_Malecón,Twin Peaks,16/2/2024,14.36,10.12,2.10,0.00,0.00,0.00,2.37,0.00,6.35,0.00,0.00
Plaza Américas_Malecón,Hooters,16/2/2024,37.43,20.13,24.83,1.00,0.00,2.39,2.40,0.00,19.32,0.00,0.00
Plaza Américas_Malecón,Casino Royal,16/2/2024,39.49,24.83,3.49,8.49,0.00,0.00,2.39,0.00,3.89,0.00,0.00
Plaza Américas_Malecón,Boliche,16/2/2024,15.53,8.84,0.00,2.39,0.00,0.00,1.20,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,16/2/2024,18.72,6.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,16/2/2024,18.72,6.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,16/2/2024,29.52,25.75,0.00,8.00,0.00,0.00,1.80,0.00,2.71,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,16/2/2024,20.93,6.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,16/2/2024,61.02,31.27,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Crepería,16/2/2024,0.00,15.98,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Cheester,16/2/2024,21.12,10.62,3.49,1.21,0.00,3.10,2.00,0.00,2.00,0.00,0.00
Plaza Américas_Malecón,Casino Royal,3/3/2024,85.01,45.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,3/3/2024,50.02,10.02,0.00,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,3/3/2024,60.10,25.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,3/3/2024,60.10,25.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Twin Peaks,3/3/2024,30.09,15.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,3/3/2024,30.01,10.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Chili´s,3/3/2024,50.01,15.02,0.00,0.00,0.00,2.40,0.00,0.00,10.01,0.00,0.00
Plaza Américas_Malecón,Toks,3/3/2024,60.02,20.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,El Asadero (Américas),3/3/2024,15.02,7.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,3/3/2024,50.01,25.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Crepería,3/4/2024,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,3/4/2024,33.00,25.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
Plaza Américas_Malecón,Toks,3/4/2024,38.00,23.50,10.00,3.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Chili´s,3/4/2024,31.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,3/4/2024,30.50,21.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Twin Peaks,3/4/2024,21.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Cheester,3/4/2024,24.30,12.50,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,3/4/2024,31.60,23.40,9.00,5.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Plaza Américas_Malecón,Boliche,3/4/2024,21.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00
Plaza Américas_Malecón,Casino Royal,3/4/2024,43.00,21.30,10.00,0.00,0.00,0.00,6.00,10.00,0.00,0.00,0.00
Plaza Américas_Malecón,Cinepolis,3/4/2024,46.30,35.60,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,3/4/2024,35.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Cinepolis,4/4/2024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00
Plaza Américas_Malecón,Boliche,4/4/2024,66.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00
